product_type,brand,condition,age_years,weight_kg,storage_gb,screen_size_inch,location_tier,resale_price_inr,green_points,price_per_kg,age_category,brand_tier,product_category
Mouse,MSI,Dead,8.0,0.1,,,2,50,15,500.0,Very_Old,Premium,Computer
Charger,Acer,Dead,1.6,0.27,,,2,87,19,322.22222222222223,Recent,Budget,Accessory
Charger,HP,Repairable,8.0,0.22,,,1,55,25,250.0,Very_Old,Budget,Accessory
Battery,Samsung,Dead,0.7,0.39,,,1,350,46,897.4358974358975,New,Premium,Accessory
Speaker,Samsung,Working,0.5,2.63,,,3,2480,288,942.9657794676806,New,Premium,Accessory
Monitor,HP,Repairable,2.6,4.83,,28.0,3,3260,356,674.9482401656314,Recent,Budget,Computer
Laptop,OnePlus,Repairable,1.3,1.66,128.0,15.4,3,9244,952,5568.674698795181,Recent,Budget,Computer
Monitor,OnePlus,Repairable,2.0,6.71,,24.5,1,4230,456,630.4023845007451,Recent,Budget,Computer
Monitor,LG,Repairable,1.5,3.13,,31.7,1,3893,415,1243.7699680511182,Recent,Budget,Computer
Mouse,Sony,Dead,4.6,0.13,,,2,90,19,692.3076923076923,Old,Premium,Computer
Laptop,Local,Repairable,4.3,2.16,256.0,13.3,2,2632,287,1218.5185185185185,Old,Budget,Computer
Mouse,MSI,Working,1.9,0.2,,,2,703,105,3515.0,Recent,Premium,Computer
Tablet,Lenovo,Working,0.6,0.48,512.0,12.1,1,17800,1821,37083.333333333336,New,Budget,Mobile
Monitor,Acer,Dead,2.4,6.22,,29.8,2,1040,126,167.20257234726688,Recent,Budget,Computer
Mouse,Generic,Repairable,3.6,0.13,,,1,142,34,1092.3076923076924,Old,Budget,Computer
Keyboard,MSI,Repairable,1.0,0.53,,,2,705,91,1330.1886792452829,New,Premium,Computer
Battery,LG,Repairable,0.9,0.47,,,1,548,75,1165.9574468085107,New,Budget,Accessory
Smartphone,Dell,Repairable,1.9,0.2,512.0,5.1,2,5265,551,26325.0,Recent,Premium,Mobile
Mouse,Xiaomi,Repairable,2.4,0.14,,,3,165,36,1178.5714285714284,Recent,Budget,Computer
Headphones,Lenovo,Dead,4.5,0.42,,,1,286,39,680.952380952381,Old,Budget,Accessory
Headphones,OnePlus,Working,1.9,0.24,,,1,2143,249,8929.166666666668,Recent,Budget,Accessory
Mouse,HP,Working,1.0,0.14,,,2,567,91,4049.9999999999995,New,Budget,Computer
Headphones,Local,Working,4.0,0.24,,,3,530,88,2208.3333333333335,Old,Budget,Accessory
Smartphone,Asus,Dead,4.5,0.2,64.0,6.1,2,1363,146,6815.0,Old,Budget,Mobile
Smartphone,Asus,Working,3.7,0.19,512.0,5.8,3,7177,757,37773.68421052631,Old,Budget,Mobile
Charger,Samsung,Dead,6.2,0.2,,,3,45,14,225.0,Very_Old,Premium,Accessory
Headphones,Acer,Working,3.6,0.45,,,3,1019,137,2264.4444444444443,Old,Budget,Accessory
Headphones,Sony,Dead,0.9,0.34,,,2,620,73,1823.5294117647059,New,Premium,Accessory
Smartphone,Generic,Working,3.3,0.23,1024.0,5.8,3,2844,319,12365.217391304348,Old,Budget,Mobile
Tablet,Lenovo,Dead,2.6,0.73,512.0,12.2,2,2047,215,2804.109589041096,Recent,Budget,Mobile
Speaker,Samsung,Repairable,2.1,1.39,,,2,1359,158,977.6978417266188,Recent,Premium,Accessory
Headphones,Generic,Repairable,1.2,0.36,,,2,443,65,1230.5555555555557,Recent,Budget,Accessory
Monitor,Generic,Repairable,0.8,7.06,,22.0,2,1943,228,275.21246458923514,New,Budget,Computer
Monitor,Realme,Repairable,1.7,5.59,,24.8,3,2328,263,416.4579606440072,Recent,Budget,Computer
Battery,Dell,Repairable,3.6,0.61,,,3,295,50,483.60655737704917,Old,Premium,Accessory
Battery,Sony,Working,0.8,0.52,,,2,1099,145,2113.4615384615386,New,Premium,Accessory
Keyboard,Dell,Repairable,3.2,0.91,,,3,482,70,529.6703296703297,Old,Premium,Computer
Tablet,HP,Repairable,0.9,0.49,1024.0,10.1,1,9340,960,19061.224489795917,New,Budget,Mobile
Headphones,Apple,Working,1.9,0.25,,,3,2597,294,10388.0,Recent,Premium,Accessory
Battery,Asus,Repairable,4.3,0.43,,,1,334,54,776.7441860465117,Old,Budget,Accessory
Laptop,LG,Working,7.9,2.0,1024.0,13.4,3,2572,296,1286.0,Very_Old,Budget,Computer
Laptop,Acer,Repairable,2.4,1.63,1024.0,15.9,3,10221,1050,6270.552147239264,Recent,Budget,Computer
Smartphone,Realme,Working,3.6,0.22,256.0,5.8,1,4859,520,22086.363636363636,Old,Budget,Mobile
Smartphone,MSI,Dead,4.4,0.25,32.0,6.7,1,1518,161,6072.0,Old,Premium,Mobile
Laptop,Lenovo,Working,2.3,2.31,1024.0,13.8,2,19567,2001,8470.56277056277,Recent,Budget,Computer
Smartphone,MSI,Working,0.5,0.17,1024.0,5.7,3,11841,1224,69652.94117647059,New,Premium,Mobile
Laptop,HP,Working,1.7,2.97,512.0,14.8,3,20225,2068,6809.7643097643095,Recent,Budget,Computer
Tablet,Lenovo,Working,0.8,0.42,64.0,10.8,1,15786,1619,37585.71428571429,New,Budget,Mobile
Mouse,Acer,Working,3.4,0.11,,,2,396,74,3600.0,Old,Budget,Computer
Smartphone,Generic,Working,1.1,0.17,512.0,5.2,1,4944,529,29082.35294117647,Recent,Budget,Mobile
Mouse,Local,Dead,1.2,0.11,,,1,85,18,772.7272727272727,Recent,Budget,Computer
Monitor,Apple,Working,1.2,3.65,,26.6,2,10572,1104,2896.4383561643835,Recent,Premium,Computer
Charger,Asus,Working,0.6,0.27,,,3,617,97,2285.185185185185,New,Budget,Accessory
Battery,Asus,Dead,1.1,0.53,,,3,171,28,322.64150943396226,Recent,Budget,Accessory
Laptop,Xiaomi,Working,2.5,2.12,32.0,13.8,1,12725,1316,6002.358490566037,Recent,Budget,Computer
Headphones,Sony,Working,2.6,0.32,,,2,1521,188,4753.125,Recent,Premium,Accessory
Charger,Local,Dead,2.8,0.21,,,1,55,15,261.9047619047619,Recent,Budget,Accessory
Smartphone,Realme,Working,0.7,0.23,256.0,5.2,2,7355,775,31978.260869565216,New,Budget,Mobile
Speaker,Dell,Repairable,2.9,1.88,,,1,1538,177,818.0851063829788,Recent,Premium,Accessory
Headphones,Realme,Dead,0.8,0.39,,,2,271,38,694.8717948717948,New,Budget,Accessory
Laptop,Lenovo,Dead,6.8,1.99,1024.0,16.6,2,1385,152,695.9798994974874,Very_Old,Budget,Computer
Headphones,MSI,Dead,1.1,0.44,,,3,547,65,1243.1818181818182,Recent,Premium,Accessory
Smartphone,Generic,Dead,1.1,0.19,64.0,5.5,3,1063,116,5594.736842105263,Recent,Budget,Mobile
Tablet,Sony,Working,0.5,0.49,256.0,10.2,3,14355,1476,29295.918367346938,New,Premium,Mobile
Keyboard,Generic,Working,0.9,1.11,,,2,753,112,678.3783783783783,New,Budget,Computer
Headphones,Dell,Working,0.7,0.4,,,3,2218,257,5545.0,New,Premium,Accessory
Tablet,MSI,Working,6.8,0.4,128.0,12.5,2,2796,315,6990.0,Very_Old,Premium,Mobile
Keyboard,Acer,Dead,5.9,1.0,,,2,97,21,97.0,Very_Old,Budget,Computer
Charger,Dell,Dead,0.7,0.2,,,2,128,22,640.0,New,Premium,Accessory
Monitor,LG,Repairable,0.9,7.05,,25.1,2,3519,385,499.1489361702128,New,Budget,Computer
Mouse,Xiaomi,Repairable,6.1,0.12,,,3,80,28,666.6666666666667,Very_Old,Budget,Computer
Battery,Samsung,Repairable,8.0,0.58,,,2,64,27,110.3448275862069,Very_Old,Premium,Accessory
Speaker,MSI,Repairable,1.3,1.85,,,3,1277,151,690.2702702702702,Recent,Premium,Accessory
Laptop,HP,Working,1.2,2.96,64.0,15.9,3,18116,1857,6120.27027027027,Recent,Budget,Computer
Smartphone,Sony,Repairable,0.5,0.21,64.0,5.5,3,6735,698,32071.428571428572,New,Premium,Mobile
Smartphone,Local,Working,0.9,0.22,64.0,6.2,1,5190,559,23590.909090909092,New,Budget,Mobile
Tablet,Generic,Dead,1.3,0.5,256.0,12.5,1,2173,228,4346.0,Recent,Budget,Mobile
Monitor,Apple,Repairable,1.7,7.23,,24.5,1,6493,688,898.0636237897648,Recent,Premium,Computer
Tablet,LG,Repairable,0.8,0.57,1024.0,8.1,3,6994,725,12270.175438596492,New,Budget,Mobile
Charger,Apple,Repairable,1.7,0.26,,,2,430,64,1653.8461538461538,Recent,Premium,Accessory
Laptop,Xiaomi,Dead,2.5,2.86,64.0,15.2,1,2610,277,912.5874125874126,Recent,Budget,Computer
Charger,Dell,Working,3.6,0.21,,,1,393,74,1871.4285714285716,Old,Premium,Accessory
Speaker,Generic,Dead,0.8,2.78,,,1,354,51,127.33812949640289,New,Budget,Accessory
Tablet,Xiaomi,Repairable,4.7,0.63,1024.0,11.9,2,2873,308,4560.31746031746,Old,Budget,Mobile
Headphones,Xiaomi,Repairable,2.7,0.32,,,2,571,78,1784.375,Recent,Budget,Accessory
Smartphone,Lenovo,Working,3.7,0.19,32.0,5.2,3,5126,552,26978.947368421053,Old,Budget,Mobile
Smartphone,Realme,Dead,5.4,0.16,512.0,5.7,1,710,81,4437.5,Very_Old,Budget,Mobile
Battery,Generic,Repairable,1.5,0.64,,,3,193,40,301.5625,Recent,Budget,Accessory
Keyboard,OnePlus,Repairable,2.3,1.04,,,1,757,97,727.8846153846154,Recent,Budget,Computer
Speaker,OnePlus,Working,0.9,2.79,,,1,3253,366,1165.9498207885304,New,Budget,Accessory
Tablet,Lenovo,Dead,4.8,0.59,512.0,12.5,2,1565,167,2652.542372881356,Old,Budget,Mobile
Tablet,Acer,Working,5.1,0.58,512.0,9.9,1,5553,596,9574.137931034484,Very_Old,Budget,Mobile
Battery,Dell,Dead,1.5,0.44,,,3,196,30,445.45454545454544,Recent,Premium,Accessory
Speaker,Generic,Working,4.4,1.14,,,2,789,115,692.1052631578948,Old,Budget,Accessory
Keyboard,Sony,Repairable,0.9,0.74,,,2,669,87,904.0540540540541,New,Premium,Computer
Battery,Dell,Working,1.1,0.68,,,2,1270,163,1867.6470588235293,Recent,Premium,Accessory
Battery,HP,Working,1.0,0.53,,,1,1119,147,2111.320754716981,New,Budget,Accessory
Charger,Realme,Dead,4.6,0.25,,,2,50,15,200.0,Old,Budget,Accessory
Monitor,Lenovo,Working,2.7,7.24,,24.2,1,5128,566,708.2872928176795,Recent,Budget,Computer
Monitor,Realme,Working,5.3,6.7,,25.9,3,1819,229,271.4925373134328,Very_Old,Budget,Computer
Monitor,OnePlus,Working,1.4,5.6,,24.4,3,7445,795,1329.4642857142858,Recent,Budget,Computer
Monitor,Lenovo,Working,3.0,7.31,,24.9,2,4733,523,647.469220246238,Recent,Budget,Computer
Smartphone,Realme,Dead,1.5,0.22,256.0,6.2,1,1406,150,6390.909090909091,Recent,Budget,Mobile
Charger,Samsung,Dead,4.7,0.18,,,1,94,19,522.2222222222223,Old,Premium,Accessory
Charger,MSI,Working,8.0,0.12,,,2,60,41,500.0,Very_Old,Premium,Accessory
Monitor,Sony,Dead,6.5,7.79,,19.2,3,389,64,49.93581514762516,Very_Old,Premium,Computer
Tablet,Acer,Repairable,0.9,0.8,128.0,10.5,2,5445,571,6806.25,New,Budget,Mobile
Mouse,Samsung,Repairable,4.3,0.1,,,3,222,42,2220.0,Old,Premium,Computer
Smartphone,Realme,Dead,1.1,0.24,256.0,6.2,2,1374,147,5725.0,Recent,Budget,Mobile
Smartphone,Lenovo,Working,2.7,0.17,1024.0,5.7,2,6491,689,38182.35294117647,Recent,Budget,Mobile
Laptop,Acer,Working,1.2,2.71,64.0,14.8,3,19633,2008,7244.649446494465,Recent,Budget,Computer
Tablet,MSI,Repairable,2.4,0.64,512.0,10.1,2,8060,832,12593.75,Recent,Premium,Mobile
Speaker,Asus,Repairable,1.1,1.53,,,3,1331,156,869.9346405228758,Recent,Budget,Accessory
Keyboard,MSI,Working,1.7,0.81,,,1,1238,160,1528.395061728395,Recent,Premium,Computer
Speaker,Generic,Dead,3.0,1.43,,,1,222,35,155.24475524475525,Recent,Budget,Accessory
Battery,HP,Working,1.6,0.41,,,2,977,133,2382.9268292682927,Recent,Budget,Accessory
Laptop,Dell,Repairable,1.4,2.17,256.0,13.8,1,16271,1656,7498.15668202765,Recent,Premium,Computer
Smartphone,Dell,Dead,0.8,0.24,128.0,5.7,2,2574,267,10725.0,New,Premium,Mobile
Laptop,Xiaomi,Working,0.6,2.25,128.0,15.2,1,18982,1942,8436.444444444445,New,Budget,Computer
Headphones,Dell,Working,3.0,0.25,,,2,1462,181,5848.0,Recent,Premium,Accessory
Charger,Samsung,Working,3.8,0.29,,,3,304,66,1048.2758620689656,Old,Premium,Accessory
Keyboard,Lenovo,Dead,1.9,0.65,,,3,189,29,290.7692307692308,Recent,Budget,Computer
Keyboard,Asus,Dead,1.3,0.6,,,3,296,40,493.33333333333337,Recent,Budget,Computer
Speaker,Xiaomi,Working,2.0,1.29,,,3,1143,152,886.046511627907,Recent,Budget,Accessory
Battery,LG,Dead,3.8,0.39,,,3,126,23,323.07692307692304,Old,Budget,Accessory
Tablet,Xiaomi,Working,1.3,0.63,512.0,8.4,3,8049,845,12776.190476190475,Recent,Budget,Mobile
Charger,Samsung,Repairable,1.0,0.14,,,2,335,53,2392.8571428571427,New,Premium,Accessory
Headphones,Local,Dead,2.6,0.28,,,2,125,23,446.4285714285714,Recent,Budget,Accessory
Speaker,Asus,Working,2.0,2.21,,,3,2529,291,1144.343891402715,Recent,Budget,Accessory
Mouse,Apple,Working,2.3,0.15,,,1,959,130,6393.333333333334,Recent,Premium,Computer
Battery,Dell,Repairable,5.8,0.71,,,3,174,38,245.0704225352113,Very_Old,Premium,Accessory
Monitor,LG,Dead,1.0,4.31,,28.7,2,1745,193,404.8723897911833,New,Budget,Computer
Charger,Xiaomi,Repairable,1.9,0.11,,,2,188,38,1709.090909090909,Recent,Budget,Accessory
Keyboard,Samsung,Working,3.8,0.7,,,3,950,131,1357.1428571428573,Old,Premium,Computer
Battery,MSI,Repairable,1.6,0.74,,,2,628,83,848.6486486486486,Recent,Premium,Accessory
Laptop,Sony,Working,2.0,2.54,512.0,15.0,2,28516,2896,11226.771653543306,Recent,Premium,Computer
Keyboard,Samsung,Working,1.3,1.03,,,1,1500,187,1456.3106796116504,Recent,Premium,Computer
Tablet,Xiaomi,Working,1.5,0.75,64.0,10.0,2,9294,971,12392.0,Recent,Budget,Mobile
Smartphone,Realme,Dead,1.0,0.19,32.0,5.3,3,1139,123,5994.736842105263,New,Budget,Mobile
Charger,MSI,Repairable,3.2,0.15,,,2,220,42,1466.6666666666667,Old,Premium,Accessory
Smartphone,HP,Dead,1.5,0.25,1024.0,5.1,2,2330,243,9320.0,Recent,Budget,Mobile
Headphones,Asus,Working,0.7,0.38,,,1,2452,281,6452.631578947368,New,Budget,Accessory
Headphones,LG,Working,1.6,0.33,,,3,1282,164,3884.8484848484845,Recent,Budget,Accessory
Keyboard,Generic,Repairable,2.0,0.85,,,1,301,52,354.11764705882354,Recent,Budget,Computer
Headphones,Dell,Dead,0.7,0.24,,,1,495,59,2062.5,New,Premium,Accessory
Battery,Sony,Dead,2.4,0.4,,,1,207,31,517.5,Recent,Premium,Accessory
Monitor,Sony,Dead,0.9,7.79,,22.0,2,2383,264,305.90500641848524,New,Premium,Computer
Mouse,Acer,Dead,1.3,0.12,,,3,113,21,941.6666666666667,Recent,Budget,Computer
Battery,Sony,Dead,0.5,0.64,,,2,277,38,432.8125,New,Premium,Accessory
Smartphone,OnePlus,Dead,5.1,0.17,512.0,6.4,1,1422,152,8364.70588235294,Very_Old,Budget,Mobile
Speaker,Realme,Working,0.8,1.8,,,2,1428,181,793.3333333333333,New,Budget,Accessory
Charger,Apple,Working,1.1,0.15,,,2,831,118,5540.0,Recent,Premium,Accessory
Tablet,Xiaomi,Dead,1.6,0.78,32.0,12.8,3,1484,160,1902.5641025641025,Recent,Budget,Mobile
Battery,Lenovo,Repairable,1.0,0.69,,,1,522,73,756.5217391304349,New,Budget,Accessory
Keyboard,Generic,Dead,0.8,1.1,,,2,150,27,136.36363636363635,New,Budget,Computer
Speaker,Samsung,Working,2.7,2.13,,,3,2190,258,1028.1690140845071,Recent,Premium,Accessory
Monitor,LG,Repairable,1.9,6.66,,27.7,3,2681,301,402.5525525525525,Recent,Budget,Computer
Speaker,LG,Working,5.0,1.12,,,1,1078,144,962.4999999999999,Old,Budget,Accessory
Monitor,Asus,Repairable,3.0,5.19,,20.8,1,3411,371,657.2254335260116,Recent,Budget,Computer
Charger,Apple,Working,1.9,0.13,,,2,716,106,5507.692307692308,Recent,Premium,Accessory
Laptop,Acer,Repairable,3.4,1.89,256.0,17.0,2,7916,820,4188.359788359789,Old,Budget,Computer
Charger,Sony,Dead,2.8,0.27,,,2,100,21,370.3703703703703,Recent,Premium,Accessory
Charger,Samsung,Dead,3.4,0.11,,,2,84,18,763.6363636363636,Old,Premium,Accessory
Charger,Dell,Repairable,1.0,0.18,,,1,402,60,2233.3333333333335,New,Premium,Accessory
Battery,LG,Working,1.4,0.63,,,2,967,132,1534.920634920635,Recent,Budget,Accessory
Battery,Asus,Working,2.3,0.48,,,2,873,123,1818.75,Recent,Budget,Accessory
Laptop,Samsung,Dead,1.3,1.63,32.0,13.5,1,8169,834,5011.6564417177915,Recent,Premium,Computer
Smartphone,Realme,Dead,0.7,0.24,32.0,6.2,2,1328,142,5533.333333333334,New,Budget,Mobile
Speaker,Local,Repairable,1.3,1.78,,,2,535,77,300.56179775280896,Recent,Budget,Accessory
Mouse,Realme,Dead,1.3,0.14,,,2,96,19,685.7142857142857,Recent,Budget,Computer
Battery,HP,Working,1.9,0.77,,,2,738,110,958.4415584415584,Recent,Budget,Accessory
Battery,Samsung,Working,1.9,0.59,,,2,1231,159,2086.4406779661017,Recent,Premium,Accessory
Laptop,Sony,Dead,0.6,2.36,256.0,14.0,2,7953,815,3369.9152542372885,New,Premium,Computer
Battery,Apple,Dead,4.7,0.31,,,3,174,28,561.2903225806451,Old,Premium,Accessory
Mouse,Lenovo,Working,5.9,0.17,,,2,204,55,1200.0,Very_Old,Budget,Computer
Headphones,Generic,Dead,0.6,0.48,,,3,223,33,464.58333333333337,New,Budget,Accessory
Monitor,Apple,Dead,0.6,6.45,,20.6,2,2985,321,462.7906976744186,New,Premium,Computer
Smartphone,Apple,Working,1.0,0.16,128.0,6.1,3,14313,1471,89456.25,New,Premium,Mobile
Mouse,Generic,Repairable,1.9,0.18,,,2,186,38,1033.3333333333335,Recent,Budget,Computer
Tablet,Realme,Dead,2.4,0.41,64.0,10.0,2,1612,172,3931.707317073171,Recent,Budget,Mobile
Battery,HP,Repairable,2.2,0.62,,,2,436,64,703.2258064516129,Recent,Budget,Accessory
Smartphone,MSI,Dead,5.5,0.16,256.0,5.0,1,1286,138,8037.5,Very_Old,Premium,Mobile
Battery,Acer,Working,5.7,0.36,,,3,232,59,644.4444444444445,Very_Old,Budget,Accessory
Mouse,Dell,Repairable,1.3,0.14,,,1,374,57,2671.428571428571,Recent,Premium,Computer
Tablet,OnePlus,Working,2.3,0.58,512.0,9.6,3,9098,950,15686.206896551725,Recent,Budget,Mobile
Headphones,Generic,Repairable,3.8,0.41,,,3,337,54,821.9512195121952,Old,Budget,Accessory
Monitor,Samsung,Working,2.9,4.55,,22.5,2,5980,647,1314.2857142857144,Recent,Premium,Computer
Speaker,Dell,Working,4.1,2.96,,,3,1542,195,520.9459459459459,Old,Premium,Accessory
Laptop,Realme,Working,0.5,1.71,1024.0,15.3,3,13765,1419,8049.707602339182,New,Budget,Computer
Keyboard,Asus,Repairable,0.7,1.16,,,2,728,94,627.5862068965517,New,Budget,Computer
Monitor,Asus,Dead,5.4,6.9,,26.9,1,922,116,133.6231884057971,Very_Old,Budget,Computer
Mouse,Generic,Working,2.5,0.16,,,3,258,60,1612.5,Recent,Budget,Computer
Battery,MSI,Working,2.1,0.79,,,1,1140,151,1443.0379746835442,Recent,Premium,Accessory
Laptop,Local,Working,3.5,2.81,32.0,13.3,2,5847,630,2080.7829181494662,Old,Budget,Computer
Speaker,Generic,Working,1.8,2.03,,,2,1384,177,681.7733990147784,Recent,Budget,Accessory
Speaker,Samsung,Working,1.7,2.14,,,1,3222,361,1505.6074766355139,Recent,Premium,Accessory
Tablet,Samsung,Working,0.6,0.65,128.0,8.8,3,17195,1760,26453.846153846152,New,Premium,Mobile
Monitor,LG,Working,2.3,5.97,,20.6,3,4839,530,810.5527638190955,Recent,Budget,Computer
Battery,Samsung,Repairable,8.0,0.5,,,2,65,27,130.0,Very_Old,Premium,Accessory
Monitor,Asus,Repairable,0.9,6.34,,27.4,3,4223,455,666.0883280757098,New,Budget,Computer
Keyboard,MSI,Working,0.7,1.13,,,1,1627,199,1439.8230088495577,New,Premium,Computer
Tablet,Asus,Repairable,1.3,0.58,512.0,12.2,3,6710,697,11568.96551724138,Recent,Budget,Mobile
Laptop,Sony,Dead,5.8,1.96,256.0,16.1,3,2353,249,1200.5102040816328,Very_Old,Premium,Computer
Speaker,OnePlus,Working,5.8,1.49,,,2,978,135,656.3758389261745,Very_Old,Budget,Accessory
Headphones,Local,Working,1.1,0.45,,,2,679,103,1508.888888888889,Recent,Budget,Accessory
Mouse,Apple,Repairable,2.2,0.13,,,3,388,58,2984.6153846153843,Recent,Premium,Computer
Monitor,Generic,Working,2.6,7.26,,30.1,3,3024,352,416.5289256198347,Recent,Budget,Computer
Smartphone,Sony,Working,1.1,0.2,32.0,5.0,3,9706,1010,48530.0,Recent,Premium,Mobile
Tablet,Lenovo,Working,2.1,0.66,64.0,11.6,3,9981,1039,15122.727272727272,Recent,Budget,Mobile
Charger,Acer,Repairable,2.2,0.11,,,1,191,39,1736.3636363636363,Recent,Budget,Accessory
Keyboard,LG,Repairable,2.3,0.69,,,2,464,67,672.4637681159421,Recent,Budget,Computer
Monitor,Lenovo,Working,1.6,5.77,,28.4,2,6458,697,1119.2374350086657,Recent,Budget,Computer
Headphones,LG,Working,2.6,0.3,,,3,1463,182,4876.666666666667,Recent,Budget,Accessory
Speaker,Lenovo,Working,2.6,2.27,,,1,2211,261,974.0088105726873,Recent,Budget,Accessory
Keyboard,LG,Dead,0.5,0.99,,,2,295,41,297.979797979798,New,Budget,Computer
Headphones,Generic,Working,6.2,0.45,,,1,341,70,757.7777777777777,Very_Old,Budget,Accessory
Battery,LG,Working,1.1,0.4,,,2,871,123,2177.5,Recent,Budget,Accessory
Laptop,Xiaomi,Working,1.8,1.94,32.0,13.7,3,12919,1335,6659.278350515464,Recent,Budget,Computer
Headphones,Realme,Repairable,8.0,0.23,,,2,86,28,373.9130434782609,Very_Old,Budget,Accessory
Mouse,Sony,Working,5.4,0.15,,,1,356,70,2373.3333333333335,Very_Old,Premium,Computer
Charger,LG,Dead,1.6,0.23,,,2,100,20,434.78260869565213,Recent,Budget,Accessory
Laptop,HP,Repairable,1.2,2.37,128.0,15.3,1,13831,1413,5835.864978902953,Recent,Budget,Computer
Charger,Samsung,Working,1.2,0.17,,,2,519,86,3052.941176470588,Recent,Premium,Accessory
Charger,HP,Repairable,0.6,0.15,,,3,233,43,1553.3333333333335,New,Budget,Accessory
Monitor,OnePlus,Working,0.7,7.06,,27.6,1,7691,823,1089.3767705382436,New,Budget,Computer
Monitor,OnePlus,Working,1.1,7.36,,23.0,2,8076,862,1097.282608695652,Recent,Budget,Computer
Speaker,Local,Dead,2.0,1.76,,,2,234,37,132.95454545454547,Recent,Budget,Accessory
Speaker,Local,Repairable,0.7,2.99,,,2,622,88,208.0267558528428,New,Budget,Accessory
Battery,Sony,Dead,1.4,0.66,,,1,253,36,383.3333333333333,Recent,Premium,Accessory
Smartphone,MSI,Repairable,4.1,0.2,32.0,5.2,3,3395,359,16975.0,Old,Premium,Mobile
Battery,Samsung,Working,4.2,0.67,,,1,659,101,983.5820895522387,Old,Premium,Accessory
Charger,Realme,Working,0.8,0.16,,,2,392,74,2450.0,New,Budget,Accessory
Headphones,Apple,Repairable,1.1,0.34,,,3,1199,140,3526.4705882352937,Recent,Premium,Accessory
Smartphone,Local,Repairable,1.5,0.21,64.0,5.9,3,2289,248,10900.0,Recent,Budget,Mobile
Battery,Apple,Dead,3.9,0.57,,,3,158,26,277.1929824561404,Old,Premium,Accessory
Smartphone,Sony,Repairable,1.3,0.21,32.0,6.5,2,6799,704,32376.190476190477,Recent,Premium,Mobile
Battery,Acer,Working,1.0,0.41,,,2,755,111,1841.4634146341464,New,Budget,Accessory
Charger,LG,Working,5.6,0.27,,,3,187,54,692.5925925925925,Very_Old,Budget,Accessory
Keyboard,Realme,Working,1.5,0.85,,,1,810,118,952.9411764705883,Recent,Budget,Computer
Keyboard,Xiaomi,Dead,1.1,0.85,,,3,152,27,178.82352941176472,Recent,Budget,Computer
Laptop,Generic,Working,0.8,2.83,512.0,14.7,1,16434,1689,5807.067137809187,New,Budget,Computer
Monitor,Apple,Dead,2.0,4.85,,29.2,1,2970,317,612.3711340206186,Recent,Premium,Computer
Charger,Generic,Repairable,3.4,0.24,,,2,88,28,366.6666666666667,Old,Budget,Accessory
Tablet,Samsung,Working,1.3,0.59,128.0,11.7,3,12889,1329,21845.76271186441,Recent,Premium,Mobile
Mouse,Apple,Dead,1.3,0.11,,,3,197,29,1790.909090909091,Recent,Premium,Computer
Headphones,Local,Dead,8.0,0.27,,,1,55,16,203.7037037037037,Very_Old,Budget,Accessory
Headphones,Samsung,Working,1.6,0.22,,,2,2195,254,9977.272727272728,Recent,Premium,Accessory
Battery,Lenovo,Repairable,2.9,0.56,,,3,390,60,696.4285714285713,Recent,Budget,Accessory
Speaker,Xiaomi,Working,1.2,1.17,,,2,2091,246,1787.1794871794873,Recent,Budget,Accessory
Tablet,MSI,Repairable,1.5,0.63,256.0,9.6,2,9167,942,14550.79365079365,Recent,Premium,Mobile
Laptop,OnePlus,Repairable,3.0,1.7,512.0,13.6,2,9485,976,5579.411764705883,Recent,Budget,Computer
Keyboard,Lenovo,Working,3.8,0.66,,,3,761,112,1153.030303030303,Old,Budget,Computer
Monitor,Samsung,Working,6.2,5.64,,25.0,1,3124,358,553.9007092198582,Very_Old,Premium,Computer
Laptop,Sony,Repairable,1.3,2.21,64.0,16.9,2,13993,1428,6331.6742081447965,Recent,Premium,Computer
Monitor,Acer,Working,6.1,7.31,,25.1,3,2174,267,297.4008207934337,Very_Old,Budget,Computer
Smartphone,HP,Working,2.6,0.24,64.0,6.7,2,7705,810,32104.166666666668,Recent,Budget,Mobile
Battery,HP,Repairable,1.6,0.6,,,2,552,76,920.0,Recent,Budget,Accessory
Speaker,MSI,Repairable,6.5,1.49,,,3,396,62,265.7718120805369,Very_Old,Premium,Accessory
Headphones,Acer,Repairable,2.0,0.28,,,1,975,118,3482.142857142857,Recent,Budget,Accessory
Mouse,Samsung,Dead,2.1,0.17,,,1,161,26,947.0588235294117,Recent,Premium,Computer
Charger,LG,Dead,1.8,0.22,,,3,90,19,409.09090909090907,Recent,Budget,Accessory
Mouse,HP,Dead,0.9,0.2,,,1,177,27,885.0,New,Budget,Computer
Headphones,LG,Working,3.1,0.32,,,2,1269,162,3965.625,Old,Budget,Accessory
Speaker,Asus,Working,1.5,1.82,,,2,2604,299,1430.7692307692307,Recent,Budget,Accessory
Laptop,Acer,Working,2.1,2.25,32.0,15.0,3,13078,1351,5812.444444444444,Recent,Budget,Computer
Tablet,Lenovo,Working,0.9,0.45,1024.0,11.0,2,16459,1686,36575.555555555555,New,Budget,Mobile
Charger,Lenovo,Working,2.7,0.18,,,2,450,80,2500.0,Recent,Budget,Accessory
Charger,LG,Working,2.5,0.25,,,2,379,72,1516.0,Recent,Budget,Accessory
Battery,OnePlus,Working,6.9,0.71,,,2,230,59,323.943661971831,Very_Old,Budget,Accessory
